bureau_id,sme_id,pull_date,has_bank_account,has_mobile_money,has_loan_account,has_credit_card,has_debit_card,has_internet_banking,n_previous_loans,n_defaults,total_borrowed_usd,current_outstanding_usd,worst_payment_delay_days,uses_informal_lender,uses_friends_family_savings,collateral_type,collateral_value_usd,bureau_score
BUR_QPVGENPO,SME_01837,2020-09-16,Have now,Have now,Have now,Never had,Have now,Have now,1,0,2135.62,335.51,0.0,Sometimes,Sometimes,none,,534.0
BUR_A3347I38,SME_04964,2020-09-22,Have now,Never had,Never had,Never had,Have now,Never had,2,0,2476.39,888.19,0.0,No,No,none,,496.0
BUR_NDD8Z00S,SME_02515,2021-02-06,Used to have but don't have now,Never had,Have now,Never had,Have now,Never had,0,0,0.0,0.0,,No,Yes,inventory,8828.19,523.0
BUR_JCNZ6IAV,SME_03474,2022-09-22,Never had,Never had,Never had,Never had,Never had,Never had,1,0,11410.35,2441.7,0.0,No,No,land,6450.92,
BUR_LL9DFMSB,SME_04862,2022-01-07,Never had,Never had,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,land,4344.8,
BUR_V06LSRX5,SME_02706,2020-03-20,Never had,Have now,Never had,Never had,Never had,Never had,3,0,7396.64,2834.56,30.0,Sometimes,No,none,,
BUR_KX06T4ZO,SME_00057,2022-08-11,Never had,Have now,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_0PA4PBOD,SME_00397,2023-11-21,Have now,Have now,Never had,Never had,Have now,Never had,2,0,764.72,204.52,0.0,No,No,none,,697.0
BUR_IK0G6EW3,SME_00155,2021-07-10,Never had,Have now,Never had,Never had,Never had,Never had,2,0,1328.39,457.25,30.0,No,No,land,1126.8,
BUR_C3WC66LV,SME_03736,2020-04-17,Never had,Used to have but don't have now,Have now,Never had,Never had,Have now,1,1,6808.57,1323.67,0.0,Sometimes,Sometimes,none,,
BUR_RGWZ297C,SME_04930,2022-06-04,Have now,Never had,Never had,Never had,Have now,Never had,2,0,1182.26,56.17,0.0,Sometimes,No,land,27888.63,437.0
BUR_0DT0IQI7,SME_04301,2022-02-04,Used to have but don't have now,Have now,Never had,Have now,Never had,Never had,3,1,4636.94,1175.84,90.0,Sometimes,No,none,,491.0
BUR_QXKG71RG,SME_01574,2020-04-18,Never had,Have now,Never had,Never had,Never had,Never had,1,0,2354.93,62.01,0.0,No,Sometimes,none,,
BUR_OFX2TTMI,SME_02053,2020-08-27,Never had,Never had,Never had,Never had,Never had,Never had,3,0,1342.08,451.19,0.0,No,No,none,,
BUR_Z3R22XVJ,SME_03070,2021-11-11,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,Sometimes,equipment,4230.02,
BUR_CGRAJPI0,SME_03241,2022-04-20,Never had,Have now,Never had,Never had,Never had,Never had,1,0,1285.28,358.81,0.0,No,No,none,,
BUR_6JS28DV0,SME_01966,2022-08-26,Have now,Have now,Never had,Never had,Have now,Never had,1,0,7319.89,592.43,0.0,Sometimes,Sometimes,none,,697.0
BUR_RWMK18HD,SME_02352,2021-05-23,Have now,Have now,Never had,Never had,Have now,Never had,2,1,5305.62,993.53,0.0,No,No,inventory,1360.18,740.0
BUR_KVLRG0HL,SME_01578,2020-11-09,Never had,Never had,Never had,Never had,Never had,Never had,1,1,1194.65,845.28,60.0,No,No,equipment,1196.11,
BUR_FM3RKV43,SME_04003,2021-08-12,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,land,85329.43,
BUR_IO8O0ISI,SME_03415,2023-08-02,Never had,Never had,Never had,Never had,Never had,Never had,1,1,1715.47,762.18,0.0,Sometimes,Sometimes,inventory,8603.9,
BUR_DFBO4OBM,SME_02644,2020-12-04,Never had,Never had,Never had,Never had,Never had,Never had,2,0,13548.22,8361.72,0.0,No,No,none,,
BUR_VTM7K3E2,SME_03610,2021-12-12,Never had,Used to have but don't have now,Have now,Never had,Never had,Never had,1,0,10711.53,1807.91,0.0,Sometimes,No,inventory,625.64,
BUR_AZHZY0DM,SME_04600,2020-12-25,Have now,Never had,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,Sometimes,inventory,1395.59,688.0
BUR_RCR5FNKV,SME_02778,2023-10-04,Never had,Never had,Never had,Never had,Never had,Never had,3,2,3705.91,2780.53,60.0,No,No,none,,
BUR_KHX4D5HG,SME_00374,2020-01-13,Have now,Have now,Never had,Never had,Have now,Never had,1,0,2059.65,739.12,0.0,No,Yes,inventory,612.06,586.0
BUR_GOCVI2XO,SME_01605,2021-06-29,Have now,Have now,Never had,Never had,Have now,Never had,1,0,8181.59,5606.85,0.0,No,Yes,none,,386.0
BUR_3SG99IG9,SME_00102,2020-12-07,Never had,Have now,Used to have but don't have now,Never had,Never had,Used to have but don't have now,4,0,1453.95,533.17,0.0,No,Sometimes,guarantor,1720.99,
BUR_WRMR0D0F,SME_04732,2021-05-07,Never had,Have now,Never had,Have now,Never had,Never had,2,0,8254.2,5389.64,0.0,No,Sometimes,inventory,27851.56,
BUR_IZAP68VC,SME_01058,2023-10-07,Used to have but don't have now,Have now,Never had,Never had,Have now,Never had,1,1,8397.71,768.73,0.0,No,Yes,guarantor,5586.3,504.0
BUR_6SDF2PL1,SME_00813,2020-07-28,Never had,Never had,Never had,Never had,Never had,Never had,2,1,18250.11,9608.24,30.0,No,No,none,,
BUR_YG95SQU6,SME_00008,2021-12-21,Never had,Have now,Never had,Never had,Never had,Never had,1,0,8516.46,6239.27,30.0,No,No,none,,
BUR_93KTUJWZ,SME_01024,2023-05-29,Never had,Have now,Never had,Never had,Never had,Never had,2,0,1987.87,137.01,0.0,No,No,inventory,13183.82,
BUR_S0O7LTV1,SME_02158,2022-01-16,Never had,Have now,Never had,Never had,Never had,Never had,3,0,18821.8,8966.56,0.0,No,No,none,,
BUR_YS0T0717,SME_03081,2022-09-09,Never had,Never had,Never had,Never had,Never had,Have now,1,0,12291.78,9113.01,30.0,Sometimes,Sometimes,equipment,7100.71,
BUR_4K7OSTEA,SME_03206,2020-12-10,Never had,Have now,Never had,Never had,Never had,Never had,2,1,2114.86,1360.7,60.0,No,No,inventory,45087.02,
BUR_DYZG9VG3,SME_02282,2021-02-19,Never had,Never had,Never had,Never had,Never had,Never had,1,0,2157.2,1366.95,90.0,No,Sometimes,land,1397.49,
BUR_SIXWQV3E,SME_04399,2020-03-20,Have now,Have now,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,none,,528.0
BUR_339116IS,SME_02972,2023-08-01,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,Sometimes,Sometimes,land,5600.75,
BUR_7JIDHJVV,SME_02887,2020-07-03,Have now,Have now,Never had,Never had,Have now,Never had,2,1,2502.54,859.99,0.0,No,Sometimes,none,,716.0
BUR_9WAAAP62,SME_03080,2020-01-07,Never had,Never had,Never had,Never had,Never had,Never had,1,0,1590.53,1.62,0.0,No,No,land,2559.99,
BUR_P4ZH6QC7,SME_04700,2022-04-07,Never had,Never had,Have now,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,equipment,27986.65,
BUR_RRPW2PZL,SME_02284,2021-08-30,Never had,Never had,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,land,14161.22,
BUR_IE5VUB37,SME_03992,2020-03-11,Used to have but don't have now,Used to have but don't have now,Never had,Never had,Have now,Never had,2,0,938.87,606.77,30.0,No,Sometimes,inventory,3934.15,524.0
BUR_KCQSQQ27,SME_03918,2023-12-13,Never had,Have now,Used to have but don't have now,Never had,Never had,Never had,2,0,4458.4,3108.03,0.0,No,Yes,none,,
BUR_RB4DJ0P4,SME_02845,2021-04-18,Have now,Have now,Have now,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,inventory,146.81,520.0
BUR_OTII75XW,SME_03331,2021-05-17,Never had,Never had,Never had,Never had,Never had,Never had,2,0,19204.87,11150.49,0.0,Sometimes,No,land,905.16,
BUR_XQ6HCZ0T,SME_01855,2023-04-21,Never had,Never had,Never had,Never had,Never had,Never had,1,2,1108.94,36.5,60.0,Sometimes,No,land,3525.44,
BUR_JPAKFRXW,SME_01702,2022-06-21,Have now,Have now,Never had,Never had,Have now,Never had,1,0,1542.99,595.07,60.0,No,No,none,,533.0
BUR_1ORADJNY,SME_01512,2020-08-23,Have now,Have now,Never had,Never had,Have now,Never had,1,1,631.23,227.9,0.0,No,No,none,,380.0
BUR_02YAZSSA,SME_04397,2022-02-26,Never had,Have now,Never had,Never had,Never had,Never had,1,0,8966.57,1468.66,0.0,No,No,guarantor,1861.51,
BUR_ZIZTT0YT,SME_01750,2022-06-23,Never had,Have now,Have now,Never had,Never had,Never had,0,0,0.0,0.0,,Yes,No,inventory,8465.82,
BUR_ED6QFN0C,SME_04287,2023-10-27,Have now,Never had,Never had,Never had,Have now,Never had,2,0,27522.57,20920.8,0.0,No,No,none,,532.0
BUR_YB9O208T,SME_04806,2020-03-30,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,guarantor,5402.08,
BUR_S3VJD97L,SME_01706,2023-01-16,Never had,Never had,Never had,Never had,Never had,Never had,1,0,706.31,495.34,0.0,No,Sometimes,equipment,2030.06,
BUR_2NM0NE0R,SME_04034,2023-08-29,Never had,Have now,Never had,Never had,Never had,Never had,3,3,2633.36,1601.11,0.0,No,No,none,,
BUR_S55AVIBI,SME_00961,2023-07-21,Never had,Never had,Never had,Never had,Never had,Used to have but don't have now,2,0,2662.91,889.08,0.0,No,No,none,,
BUR_LWTG9WN4,SME_02317,2021-11-01,Never had,Never had,Have now,Never had,Never had,Never had,4,0,817.4,61.29,60.0,No,No,none,,
BUR_IP0K2NY1,SME_02762,2021-06-10,Never had,Never had,Never had,Never had,Never had,Never had,1,1,12046.47,12.2,30.0,No,No,none,,
BUR_924OLXHN,SME_04013,2021-08-19,Have now,Never had,Used to have but don't have now,Never had,Have now,Never had,0,0,0.0,0.0,,No,Sometimes,none,,612.0
BUR_UCC4YR8Z,SME_05012,2023-07-10,Have now,Never had,Never had,Never had,Have now,Used to have but don't have now,1,0,14069.71,1008.9,0.0,No,No,none,,608.0
BUR_HEZVAIOT,SME_01403,2021-03-12,Never had,Never had,Never had,Never had,Never had,Never had,1,0,630.08,126.6,0.0,Sometimes,No,guarantor,3398.35,
BUR_ISAJLQO3,SME_04827,2020-04-09,Never had,Have now,Used to have but don't have now,Never had,Never had,Have now,3,1,5123.56,2090.82,0.0,No,No,none,,
BUR_ZP0J2KJI,SME_05053,2022-02-26,Used to have but don't have now,Never had,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,guarantor,5865.02,680.0
BUR_12QM3986,SME_04229,2023-11-18,Never had,Have now,Never had,Never had,Have now,Never had,1,1,1472.52,461.14,0.0,No,No,none,,
BUR_ZE5ABQML,SME_02748,2021-07-10,Have now,Have now,Never had,Never had,Have now,Have now,2,1,5120.7,3724.69,0.0,No,No,none,,628.0
BUR_W9XQR1ZW,SME_01344,2021-07-24,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,inventory,6716.42,
BUR_0XS2V8VX,SME_02481,2021-08-31,Never had,Have now,Used to have but don't have now,Never had,Have now,Used to have but don't have now,0,0,0.0,0.0,,No,No,none,,
BUR_3DBDRAI3,SME_03359,2021-08-10,Used to have but don't have now,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,522.0
BUR_262FDFHL,SME_01736,2020-05-30,Have now,Never had,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,none,,416.0
BUR_ROTCOK64,SME_04789,2023-01-28,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,land,6202.39,
BUR_MAC1T84Q,SME_00402,2020-12-09,Have now,Have now,Never had,Never had,Have now,Never had,1,0,2590.61,377.6,30.0,No,No,none,,620.0
BUR_9VOJKH65,SME_01437,2021-06-06,Never had,Have now,Have now,Never had,Never had,Never had,1,1,20171.1,9932.86,0.0,No,Yes,none,,
BUR_DXWOD76S,SME_00416,2023-02-15,Have now,Never had,Never had,Never had,Have now,Never had,1,0,1032.35,552.15,0.0,No,No,guarantor,3143.59,615.0
BUR_TU6R0FXW,SME_05080,2020-04-27,Have now,Never had,Have now,Never had,Have now,Never had,2,0,1666.73,550.77,60.0,No,Sometimes,none,,598.0
BUR_60V022SO,SME_02549,2021-11-06,Have now,Have now,Never had,Never had,Have now,Never had,1,0,1110.02,483.31,0.0,Yes,No,none,,702.0
BUR_I6ZONRQ8,SME_03316,2021-01-12,Never had,Have now,Never had,Never had,Never had,Never had,3,0,3506.61,1479.46,0.0,No,No,inventory,181.58,
BUR_6D1DYS8V,SME_04938,2023-01-14,Have now,Have now,Never had,Never had,Have now,Never had,2,0,11041.24,1560.06,0.0,No,Yes,none,,574.0
BUR_SLAXULK6,SME_02276,2020-02-17,Never had,Have now,Never had,Never had,Never had,Have now,2,1,8278.91,3274.82,0.0,No,No,none,,
BUR_T8R9M50A,SME_04247,2023-10-28,Never had,Never had,Never had,Never had,Never had,Never had,1,0,4330.32,3461.11,0.0,No,No,none,,
BUR_FXQL22BP,SME_00812,2022-07-13,Never had,Never had,Never had,Never had,Never had,Used to have but don't have now,1,0,2928.64,603.74,0.0,Sometimes,No,land,7238.55,
BUR_TM8YYH4E,SME_00949,2020-09-19,Never had,Have now,Used to have but don't have now,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_CTUUWQ51,SME_04682,2022-07-01,Have now,Have now,Have now,Never had,Have now,Never had,0,0,0.0,0.0,,No,Sometimes,none,,771.0
BUR_AQ81WI1U,SME_02076,2023-09-17,Have now,Have now,Never had,Never had,Have now,Never had,2,0,8871.84,1096.69,0.0,No,No,guarantor,5206.94,611.0
BUR_94NUD243,SME_00060,2022-05-24,Never had,Have now,Never had,Never had,Never had,Never had,1,0,970.6,51.91,30.0,No,No,none,,
BUR_ZB7V6LSM,SME_02660,2022-07-01,Have now,Have now,Never had,Never had,Have now,Never had,1,0,6346.63,2600.18,30.0,No,No,none,,517.0
BUR_SMQ3R7G7,SME_01913,2021-01-03,Never had,Have now,Never had,Never had,Never had,Used to have but don't have now,1,0,3442.53,1195.01,0.0,No,No,none,,
BUR_3APFEKW0,SME_03123,2022-09-13,Never had,Never had,Never had,Never had,Never had,Never had,2,0,825.84,225.0,60.0,No,No,none,,
BUR_9SXQP456,SME_00576,2020-03-07,Never had,Used to have but don't have now,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_HHKVJ4MR,SME_02766,2023-08-22,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_S5KZ7TMU,SME_02446,2022-05-16,Never had,Have now,Never had,Never had,Never had,Never had,1,0,4982.54,481.38,30.0,No,No,none,,
BUR_CAC7MD33,SME_00583,2020-08-23,Have now,Never had,Have now,Never had,Have now,Never had,2,1,1208.8,601.76,0.0,No,No,none,,425.0
BUR_03HF8EG2,SME_00111,2021-09-17,Never had,Never had,Never had,Never had,Never had,Never had,2,3,9239.59,3997.66,0.0,No,No,none,,
BUR_N4QAN1CY,SME_00936,2021-12-24,Never had,Never had,Have now,Never had,Never had,Never had,2,1,4641.0,2088.97,0.0,No,No,none,,
BUR_S6Q65LM4,SME_02269,2020-06-23,Never had,Have now,Never had,Used to have but don't have now,Never had,Never had,2,0,6773.6,3984.25,0.0,No,No,inventory,3277.01,
BUR_UF9H4KV9,SME_02501,2020-02-10,Never had,Have now,Never had,Never had,Never had,Have now,5,0,928.18,648.47,0.0,No,No,none,,
BUR_E32W9NK4,SME_00113,2021-09-26,Have now,Never had,Have now,Never had,Have now,Never had,2,2,1337.4,10.76,0.0,No,No,none,,498.0
BUR_48YRGING,SME_04071,2022-08-11,Have now,Never had,Have now,Never had,Have now,Never had,1,0,6499.21,841.4,0.0,No,No,none,,424.0
BUR_0SCGOOVA,SME_05090,2021-03-03,Never had,Never had,Never had,Never had,Never had,Never had,1,0,3851.16,2227.01,0.0,Sometimes,Sometimes,none,,
BUR_LCO48ULE,SME_01277,2021-10-08,Never had,Have now,Never had,Never had,Never had,Never had,1,0,7382.39,276.69,0.0,Sometimes,Sometimes,equipment,4195.98,
BUR_QQY9C5C6,SME_00514,2020-11-07,Never had,Have now,Never had,Never had,Never had,Never had,1,0,4290.85,1096.95,0.0,Sometimes,No,none,,
BUR_ZZ93ZDC2,SME_01113,2021-12-30,Never had,Never had,Have now,Never had,Never had,Never had,1,0,7536.93,1978.4,0.0,No,No,none,,
BUR_Q1KRNG9F,SME_01834,2023-04-01,Never had,Have now,Never had,Never had,Never had,Have now,2,1,364.67,42.21,0.0,No,Yes,guarantor,12829.42,
BUR_1K2XMJ7V,SME_04734,2022-07-26,Never had,Have now,Never had,Never had,Have now,Never had,2,0,2013.58,206.89,0.0,No,No,inventory,1058.31,
BUR_FWESOACC,SME_01884,2023-09-12,Never had,Have now,Never had,Have now,Never had,Never had,0,0,0.0,0.0,,Sometimes,No,land,1101.33,
BUR_0FRPAYF3,SME_00501,2022-10-03,Never had,Never had,Never had,Never had,Never had,Never had,3,0,11781.37,1732.34,0.0,Sometimes,No,none,,
BUR_DBNJMIJL,SME_01392,2023-09-04,Have now,Never had,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,guarantor,3308.05,583.0
BUR_2BKI4WGP,SME_01861,2020-11-12,Never had,Have now,Never had,Never had,Never had,Never had,1,1,4508.58,3303.39,0.0,Sometimes,No,equipment,507.14,
BUR_I2VJRD55,SME_03622,2022-11-20,Never had,Never had,Never had,Never had,Have now,Never had,1,0,8334.89,2389.97,0.0,No,No,none,,
BUR_A5YSJ6Q6,SME_03607,2022-03-16,Have now,Never had,Used to have but don't have now,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,none,,548.0
BUR_P3S9CCIC,SME_03461,2021-05-16,Never had,Have now,Never had,Never had,Never had,Never had,3,0,2696.2,419.29,0.0,Sometimes,No,guarantor,6655.81,
BUR_ZJD41TRH,SME_02788,2023-05-26,Never had,Have now,Have now,Never had,Have now,Used to have but don't have now,2,3,2168.7,1003.34,0.0,No,No,none,,
BUR_OQ9F1W6N,SME_00548,2023-11-04,Never had,Have now,Have now,Never had,Have now,Never had,2,0,2465.24,1369.47,0.0,Sometimes,No,equipment,11315.3,
BUR_SN1P4Z2Z,SME_04878,2023-05-09,Never had,Never had,Never had,Never had,Never had,Never had,6,0,1317.21,129.31,0.0,No,No,inventory,2007.03,
BUR_V9U83APS,SME_02170,2023-07-20,Have now,Have now,Have now,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,equipment,7386.39,418.0
BUR_59SYLYA9,SME_04718,2021-11-14,Used to have but don't have now,Have now,Have now,Never had,Never had,Never had,3,0,12574.44,1830.88,0.0,No,No,none,,
BUR_QUDGXB8M,SME_04030,2020-12-25,Never had,Never had,Never had,Never had,Never had,Never had,3,0,2154.23,943.12,60.0,No,No,none,,
BUR_6XXSYGBR,SME_00035,2021-05-17,Never had,Never had,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,Sometimes,inventory,3785.23,
BUR_3AWBE056,SME_00332,2022-05-18,Never had,Have now,Never had,Never had,Never had,Used to have but don't have now,0,0,0.0,0.0,,No,No,none,,
BUR_PPN15ALO,SME_02490,2020-06-27,Have now,Have now,Never had,Never had,Have now,Never had,0,0,0.0,0.0,,Sometimes,No,equipment,256886.83,850.0
BUR_CDHWL0AZ,SME_02118,2020-09-28,Used to have but don't have now,Never had,Never had,Never had,Never had,Never had,2,0,5902.19,138.9,0.0,No,No,equipment,7288.14,475.0
BUR_5HOB8W4X,SME_01584,2023-10-27,Have now,Have now,Never had,Never had,Have now,Never had,2,1,13243.77,9648.82,0.0,No,No,equipment,848.02,664.0
BUR_GBNHF4CF,SME_04694,2022-12-07,Never had,Never had,Never had,Never had,Never had,Never had,1,0,9843.73,6669.34,0.0,No,No,none,,
BUR_GZ4K4W5D,SME_03801,2021-10-06,Have now,Have now,Never had,Never had,Have now,Never had,1,0,8225.58,6513.94,0.0,No,Yes,guarantor,3127.77,389.0
BUR_DUATO6G5,SME_02842,2020-09-08,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_2IODB59R,SME_00757,2023-01-21,Never had,Never had,Never had,Never had,Never had,Have now,0,0,0.0,0.0,,Sometimes,No,none,,
BUR_T2QZSEOP,SME_04242,2023-05-19,Never had,Have now,Never had,Never had,Never had,Never had,4,1,4095.69,3210.21,0.0,No,No,none,,
BUR_BKI8B3KU,SME_02462,2020-04-02,Have now,Never had,Never had,Never had,Have now,Never had,1,0,3533.67,2013.23,0.0,No,No,guarantor,219.29,567.0
BUR_FS9WL0BC,SME_02976,2021-09-09,Never had,Have now,Have now,Never had,Never had,Never had,1,1,4210.17,2761.24,0.0,No,No,none,,
BUR_ZZUMXF05,SME_03808,2020-03-20,Have now,Have now,Used to have but don't have now,Never had,Have now,Never had,0,0,0.0,0.0,,No,No,none,,612.0
BUR_CAAVYZRG,SME_02763,2021-02-15,Never had,Have now,Never had,Never had,Never had,Have now,1,0,3452.6,1801.81,0.0,No,No,none,,
BUR_QM9INBPS,SME_04422,2021-10-16,Never had,Have now,Never had,Never had,Never had,Never had,1,0,3408.45,397.41,30.0,Sometimes,No,none,,
BUR_HE6LIQ9S,SME_01377,2021-10-27,Have now,Have now,Never had,Never had,Have now,Never had,2,1,2713.18,297.35,0.0,No,Sometimes,inventory,1293.88,366.0
BUR_ZZ4YGM6R,SME_04864,2023-04-26,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_C1YDRZWX,SME_03125,2023-03-04,Never had,Have now,Never had,Never had,Never had,Never had,0,0,0.0,0.0,,No,No,none,,
BUR_NDH0S71Z,SME_03587,2022-01-16,Never had,Never had,Never had,Never had,Never had,Used to have but don't have now,2,1,3212.73,665.24,0.0,No,No,none,,
BUR_QTBNLOML,SME_00676,2023-04-29,Have now,Have now,Never had,Never had,Have now,Never had,1,2,12190.18,4318.72,60.0,No,No,none,,659.0
BUR_KGVNKNXY,SME_02160,2022-01-15,Have now,Have now,Never had,Never had,Have now,Never had,3,0,1301.85,199.84,60.0,No,No,none,,805.0
