interaction_id,sme_id,product_id,interaction_type,interaction_date,amount_requested_usd,amount_approved_usd,satisfaction_score,repayment_rate_pct,reason_rejection,channel
165,SME_00037,6,approved,2010-10-21,,,,,,mobile_app
166,SME_00038,2,application,2013-09-28,1407.22,,,,,mobile_app
167,SME_00038,2,approved,2013-10-02,1407.22,991.39,,,,mobile_app
168,SME_00038,5,application,2014-04-30,,,,,,mobile_app
169,SME_00038,5,approved,2014-05-07,,,,,,mobile_app
170,SME_00038,5,completed,2014-06-20,,,4.0,,,mobile_app
171,SME_00038,6,application,2014-06-07,,,,,,mobile_app
172,SME_00038,6,approved,2014-06-11,,,,,,mobile_app
173,SME_00038,6,completed,2014-11-10,,,4.0,,,mobile_app
174,SME_00038,8,rejected,2014-05-04,1204.93,,,,insufficient_revenue,mobile_app
175,SME_00039,3,rejected,2020-02-22,,,,,poor_credit_history,branch
176,SME_00039,4,rejected,2022-08-12,,,,,documentation_missing,mobile_app
177,SME_00039,6,application,2021-02-01,,,,,,mobile_app
178,SME_00039,6,approved,2021-02-09,,,,,,mobile_app
179,SME_00039,6,completed,2021-07-22,,,4.0,,,mobile_app
180,SME_00039,7,inquiry,2021-02-05,,,,,,mobile_app
181,SME_00040,1,rejected,2022-01-10,497.46,,,,no_collateral,mobile_app
182,SME_00040,2,application,2024-10-17,2068.98,,,,,agent
183,SME_00040,2,approved,2024-10-21,2068.98,1491.31,,,,agent
184,SME_00040,2,completed,2025-10-12,2068.98,1491.31,5.0,89.5,,agent
185,SME_00040,4,application,2021-10-04,,,,,,mobile_app
186,SME_00040,4,approved,2021-10-09,,,,,,mobile_app
187,SME_00040,4,completed,2021-12-13,,,3.0,,,mobile_app
188,SME_00040,6,application,2022-06-09,,,,,,agent
189,SME_00040,6,approved,2022-06-17,,,,,,agent
190,SME_00040,6,completed,2022-11-20,,,5.0,,,agent
191,SME_00041,1,application,2023-01-24,430.45,,,,,mobile_app
192,SME_00041,1,approved,2023-01-29,430.45,368.09,,,,mobile_app
193,SME_00041,4,rejected,2021-04-03,,,,,sector_not_eligible,mobile_app
194,SME_00041,6,application,2025-06-23,,,,,,agent
195,SME_00041,6,approved,2025-06-30,,,,,,agent
196,SME_00041,6,completed,2025-08-02,,,5.0,,,agent
197,SME_00042,5,application,2015-05-22,,,,,,branch
198,SME_00042,5,approved,2015-05-30,,,,,,branch
199,SME_00042,5,completed,2015-07-29,,,4.0,,,branch
200,SME_00042,7,rejected,2014-04-24,1527.85,,,,insufficient_revenue,mobile_app
201,SME_00042,8,application,2017-06-20,8367.42,,,,,branch
202,SME_00042,8,approved,2017-07-02,8367.42,8091.07,,,,branch
203,SME_00042,8,completed,2018-03-01,8367.42,8091.07,4.0,96.0,,branch
204,SME_00043,1,application,2011-06-26,716.76,,,,,agent
205,SME_00043,1,approved,2011-06-30,716.76,782.3335228690536,,,,agent
206,SME_00043,1,completed,2011-10-28,716.76,576.79,4.0,88.1,,agent
207,SME_00043,2,application,2014-01-03,22023.75,,,,,mobile_app
208,SME_00043,2,approved,2014-01-13,22023.75,17825.73,,,,mobile_app
209,SME_00043,2,completed,2014-03-27,22023.75,17825.73,4.0,95.0,,mobile_app
210,SME_00043,3,inquiry,2011-10-31,,,,,,agent
211,SME_00043,6,application,2012-01-13,,,,,,mobile_app
212,SME_00043,6,approved,2012-01-15,,,,,,mobile_app
213,SME_00043,6,completed,2012-04-05,,,4.0,,,mobile_app
214,SME_00045,3,application,2021-09-25,,,,,,mobile_app
215,SME_00045,3,approved,2021-10-01,,,,,,mobile_app
216,SME_00045,5,application,2020-04-17,,,,,,mobile_app
217,SME_00045,5,approved,2020-04-26,,,,,,mobile_app
218,SME_00045,5,completed,2020-06-21,,,5.0,,,mobile_app
219,SME_00045,6,rejected,2019-12-05,,,,,no_collateral,branch
220,SME_00046,6,application,2016-09-07,,,,,,mobile_app
221,SME_00046,6,approved,2016-09-09,,,,,,mobile_app
222,SME_00046,6,completed,2016-11-10,,,4.0,,,mobile_app
223,SME_00047,5,application,2019-09-10,,,,,,branch
224,SME_00047,5,approved,2019-09-22,,,,,,branch
225,SME_00047,5,completed,2019-11-04,,,3.0,,,branch
226,SME_00047,7,rejected,2017-03-19,439.65,,,,no_collateral,partner
227,SME_00047,8,application,2016-06-28,8902.39,,,,,branch
228,SME_00047,8,approved,2016-07-08,8902.39,8720.26,,,,branch
229,SME_00047,8,completed,2016-09-13,8902.39,8720.26,3.0,90.8,,branch
230,SME_00048,1,rejected,2013-05-06,793.49,,,,documentation_missing,agent
231,SME_00048,2,rejected,2014-05-01,1463.96,,,,sector_not_eligible,branch
232,SME_00048,4,application,2013-02-01,,,,,,agent
233,SME_00048,4,approved,2013-02-03,,,,,,agent
234,SME_00049,8,rejected,2020-02-19,1448.34,,,,no_collateral,agent
235,SME_00050,1,inquiry,2021-03-03,,,,,,partner
236,SME_00050,2,inquiry,2020-09-16,,,,,,branch
237,SME_00050,5,application,2021-11-20,,,,,,mobile_app
238,SME_00050,5,approved,2021-11-30,,,,,,mobile_app
239,SME_00050,5,defaulted,2022-04-25,,,2.0,,,mobile_app
240,SME_00050,6,application,2024-07-27,,,,,,agent
241,SME_00050,6,approved,2024-08-08,,,,,,agent
242,SME_00050,6,completed,2024-12-17,,,3.0,,,agent
243,SME_00051,1,application,2021-01-04,1493.77,,,,,mobile_app
244,SME_00051,1,approved,2021-01-10,1493.77,1159.74,,,,mobile_app
245,SME_00051,2,rejected,2017-09-19,376.09,,,,poor_credit_history,agent
246,SME_00051,3,application,2020-12-17,,,,,,mobile_app
247,SME_00051,3,approved,2020-12-22,,,,,,mobile_app
248,SME_00051,3,completed,2021-05-10,,,4.0,,,mobile_app
249,SME_00051,5,application,2020-09-06,,,,,,branch
250,SME_00051,5,approved,2020-09-16,,,,,,branch
251,SME_00051,5,completed,2020-10-16,,,3.0,,,branch
252,SME_00051,8,application,2017-03-20,13031.89,,,,,branch
253,SME_00051,8,approved,2017-03-24,13031.89,9980.5,,,,branch
254,SME_00051,8,completed,2017-11-03,13031.89,9980.5,3.0,93.7,,branch
255,SME_00052,2,rejected,2013-03-02,113.87,,,,sector_not_eligible,mobile_app
256,SME_00052,3,rejected,2013-08-01,,,,,sector_not_eligible,partner
257,SME_00053,1,rejected,2021-11-12,4898.97,,,,insufficient_revenue,branch
258,SME_00053,6,application,2022-04-08,,,,,,mobile_app
259,SME_00053,6,approved,2022-04-11,,,,,,mobile_app
260,SME_00053,6,completed,2022-07-29,,,4.0,,,mobile_app
261,SME_00054,5,rejected,2023-11-09,,,,,insufficient_revenue,partner
262,SME_00055,6,rejected,2019-10-24,,,,,documentation_missing,branch
263,SME_00056,1,application,2021-09-17,1876.1,,,,,mobile_app
264,SME_00056,1,approved,2021-09-29,1876.1,1330.82,,,,mobile_app
265,SME_00056,1,defaulted,2022-03-13,1876.1,1330.82,,39.4,,mobile_app
266,SME_00056,6,application,2025-01-10,,,,,,mobile_app
267,SME_00056,6,approved,2025-01-20,,,,,,mobile_app
268,SME_00056,6,completed,2025-06-25,,,3.0,,,mobile_app
269,SME_00057,6,application,2012-09-15,,,,,,branch
270,SME_00057,6,approved,2012-09-17,,,,,,branch
271,SME_00058,1,inquiry,2013-02-24,,,,,,branch
272,SME_00058,8,rejected,2013-02-01,186.76,,,,insufficient_revenue,branch
273,SME_00059,1,application,2012-02-15,14617.09,,,,,mobile_app
274,SME_00059,1,approved,2012-02-23,14617.09,11961.35,,,,mobile_app
275,SME_00059,2,application,2010-08-09,182.43,,,,,mobile_app
276,SME_00059,2,approved,2010-08-13,182.43,163.34,,,,mobile_app
277,SME_00059,2,completed,2011-08-27,182.43,163.34,5.0,93.9,,mobile_app
278,SME_00059,5,application,2010-01-24,,,,,,branch
279,SME_00059,5,approved,2010-02-04,,,,,,branch
280,SME_00059,5,completed,2010-05-24,,,4.0,,,branch
281,SME_00060,3,inquiry,2012-04-08,,,,,,mobile_app
282,SME_00060,4,rejected,2013-07-29,,,,,poor_credit_history,partner
283,SME_00060,5,application,2013-03-21,,,,,,branch
284,SME_00060,5,approved,2013-03-30,,,,,,branch
285,SME_00061,2,inquiry,2018-10-21,,,,,,branch
286,SME_00061,6,application,2021-09-14,,,,,,mobile_app
287,SME_00061,6,approved,2021-09-17,,,,,,mobile_app
288,SME_00061,6,completed,2022-02-01,,,5.0,,,mobile_app
289,SME_00061,8,application,2020-06-21,1475.82,,,,,mobile_app
290,SME_00061,8,approved,2020-07-03,1475.82,1322.84,,,,mobile_app
291,SME_00061,8,completed,2020-12-05,1475.82,1322.84,3.0,96.7,,mobile_app
292,SME_00062,3,application,2018-05-04,,,,,,branch
293,SME_00062,3,approved,2018-05-07,,,,,,branch
294,SME_00062,3,completed,2018-07-04,,,3.0,,,branch
295,SME_00062,4,rejected,2017-05-08,,,,,documentation_missing,branch
296,SME_00062,6,application,2020-05-20,,,,,,mobile_app
297,SME_00062,6,approved,2020-05-29,,,,,,mobile_app
298,SME_00062,6,completed,2020-10-17,,,5.0,,,mobile_app
299,SME_00062,8,application,2020-05-01,3275.45,,,,,branch
300,SME_00062,8,approved,2020-05-08,3275.45,3076.86,,,,branch
301,SME_00063,1,application,2008-07-23,3182.71,,,,,mobile_app
302,SME_00063,1,approved,2008-07-31,3182.71,2795.59,,,,mobile_app
303,SME_00063,1,defaulted,2009-01-24,3182.71,2795.59,1.0,19.3,,mobile_app
304,SME_00064,4,application,2023-07-20,,,,,,branch
305,SME_00064,4,approved,2023-07-30,,,,,,branch
306,SME_00064,5,rejected,2019-11-01,,,,,documentation_missing,branch
307,SME_00064,8,application,2021-08-16,8999.63,,,,,mobile_app
308,SME_00064,8,approved,2021-08-29,8999.63,8387.44,,,,mobile_app
309,SME_00064,8,completed,2022-08-21,8999.63,8387.44,3.0,94.4,,mobile_app
310,SME_00065,1,application,2008-09-11,3689.16,,,,,agent
311,SME_00065,1,approved,2008-09-12,3689.16,3200.99,,,,agent
312,SME_00065,1,completed,2009-10-07,3689.16,3200.99,5.0,90.0,,agent
313,SME_00066,1,application,2010-07-05,4092.72,,,,,mobile_app
314,SME_00066,1,approved,2010-07-08,4092.72,3939.43,,,,mobile_app
315,SME_00066,5,application,2012-09-02,,,,,,branch
316,SME_00066,5,approved,2012-09-10,,,,,,branch
317,SME_00066,6,application,2009-02-25,,,,,,mobile_app
318,SME_00066,6,approved,2009-03-08,,,,,,mobile_app
319,SME_00067,1,application,2016-11-06,20908.27,,,,,branch
320,SME_00067,1,approved,2016-11-07,20908.27,18320.36,,,,branch
321,SME_00067,1,completed,2017-10-22,20908.27,18320.36,3.0,91.3,,branch
322,SME_00067,2,application,2016-02-27,1216.21,,,,,branch
323,SME_00067,2,approved,2016-03-06,1216.21,979.08,,,,branch
324,SME_00067,2,completed,2016-12-28,1216.21,979.08,4.0,87.0,,branch
325,SME_00067,6,rejected,2015-12-09,,,,,no_collateral,branch
326,SME_00068,2,application,2012-04-04,2768.53,,,,,branch
327,SME_00068,2,approved,2012-04-07,2768.53,2353.2,,,,branch
328,SME_00068,2,defaulted,2013-02-14,2768.53,2353.2,1.0,28.8,,branch
329,SME_00068,5,rejected,2011-05-21,,,,,poor_credit_history,mobile_app
330,SME_00069,1,application,2025-09-29,3799.34,,,,,agent
331,SME_00069,1,approved,2025-10-06,3799.34,2945.68,,,,agent
332,SME_00069,2,application,2026-09-14,100.0,,,,,agent
333,SME_00069,2,approved,2026-09-17,100.0,78.85,,,,agent
334,SME_00069,2,completed,2027-05-22,100.0,78.85,,91.3,,agent
335,SME_00069,4,inquiry,2024-02-18,,,,,,partner
336,SME_00069,6,application,2025-06-18,,,,,,agent
337,SME_00069,6,approved,2025-06-28,,,,,,agent
338,SME_00069,6,completed,2025-11-10,,,5.0,,,agent
339,SME_00070,4,inquiry,2008-08-19,,,,,,branch
340,SME_00070,6,rejected,2008-01-23,,,,,insufficient_revenue,mobile_app
341,SME_00071,1,application,2008-09-29,5652.69,,,,,mobile_app
342,SME_00071,1,approved,2008-10-06,5652.69,4196.25,,,,mobile_app
343,SME_00071,1,completed,2009-01-14,5652.69,4196.25,5.0,93.0,,mobile_app
344,SME_00071,6,application,2008-03-14,,,,,,branch
345,SME_00071,6,approved,2008-03-18,,,,,,branch
346,SME_00072,4,rejected,2019-06-05,,,,,sector_not_eligible,mobile_app
347,SME_00072,6,application,2022-08-06,,,,,,mobile_app
348,SME_00072,6,approved,2022-08-12,,,,,,mobile_app
349,SME_00072,6,completed,2023-01-11,,,3.0,,,mobile_app
350,SME_00072,8,rejected,2021-03-12,4123.3,,,,sector_not_eligible,branch
351,SME_00073,1,rejected,2010-08-10,512.04,,,,insufficient_revenue,agent
352,SME_00074,1,application,2021-01-27,212.07,,,,,branch
353,SME_00074,1,approved,2021-02-08,212.07,167.02,,,,branch
354,SME_00074,1,completed,2017-08-28,212.07,167.02,5.0,90.9,,branch
355,SME_00075,6,application,2021-08-29,,,,,,mobile_app
356,SME_00075,6,approved,2021-08-31,,,,,,mobile_app
357,SME_00075,6,completed,2022-02-19,,,5.0,,,mobile_app
358,SME_00076,5,application,2011-09-01,,,,,,branch
359,SME_00076,5,approved,2011-09-09,,,,,,branch
360,SME_00077,1,application,2019-03-12,6145.51,,,,,agent
361,SME_00077,1,approved,2019-03-19,6145.51,4351.78,,,,agent
362,SME_00077,1,completed,2019-10-15,6145.51,4351.78,5.0,88.5,,agent
363,SME_00078,1,application,2018-04-26,8195.02,,,,,agent
364,SME_00078,1,approved,2018-05-07,8195.02,5778.05,,,,agent
365,SME_00078,1,completed,2018-11-07,8195.02,5778.05,,91.8,,agent
366,SME_00078,3,rejected,2014-10-11,,,,,no_collateral,branch
367,SME_00078,5,application,2019-01-28,,,,,,branch
368,SME_00078,5,approved,2019-01-30,,,,,,branch
369,SME_00078,5,completed,2019-03-06,,,3.0,,,branch
370,SME_00078,8,application,2016-05-17,423.19,,,,,partner
371,SME_00078,8,approved,2016-05-29,423.19,345.01,,,,partner
372,SME_00079,6,application,2009-07-07,,,,,,mobile_app
373,SME_00079,6,approved,2009-07-13,,,,,,mobile_app
374,SME_00079,6,completed,2009-11-24,,,,,,mobile_app
375,SME_00080,1,application,2022-03-24,1166.5,,,,,branch
376,SME_00080,1,approved,2022-04-03,1166.5,878.16,,,,branch
377,SME_00080,1,completed,2022-12-15,1166.5,878.16,,92.7,,branch
378,SME_00080,7,application,2019-01-10,809.58,,,,,mobile_app
379,SME_00080,7,approved,2019-01-21,809.58,612.58,,,,mobile_app
380,SME_00080,7,completed,2019-07-12,809.58,612.58,5.0,92.4,,mobile_app
381,SME_00081,5,application,2023-10-18,,,,,,mobile_app
382,SME_00081,5,approved,2023-10-25,,,,,,mobile_app
383,SME_00082,7,rejected,2024-04-06,5311.38,,,,documentation_missing,mobile_app
384,SME_00082,8,application,2026-12-28,33826.54,,,,,mobile_app
385,SME_00082,8,approved,2026-12-31,33826.54,33674.11,,,,mobile_app
386,SME_00082,8,completed,2027-07-28,33826.54,33674.11,4.0,94.6,,mobile_app
387,SME_00083,4,application,2007-09-26,,,,,,mobile_app
388,SME_00083,4,approved,2007-10-09,,,,,,mobile_app
389,SME_00083,4,completed,2007-12-24,,,5.0,,,mobile_app
390,SME_00083,6,application,2007-02-18,,,,,,mobile_app
391,SME_00083,6,approved,2007-02-19,,,,,,mobile_app
392,SME_00083,6,completed,2007-08-12,,,3.0,,,mobile_app
393,SME_00084,1,application,2009-09-02,3273.23,,,,,branch
394,SME_00084,1,approved,2009-09-07,3273.23,2509.93,,,,branch
395,SME_00084,3,application,2011-06-28,,,,,,branch
396,SME_00084,3,approved,2011-07-07,,,,,,branch
397,SME_00084,3,completed,2011-08-25,,,5.0,,,branch
398,SME_00084,4,inquiry,2008-09-06,,,,,,mobile_app
399,SME_00084,5,application,2011-04-07,,,,,,mobile_app
400,SME_00084,5,approved,2011-04-08,,,,,,mobile_app
401,SME_00084,5,completed,2011-05-10,,,4.0,,,mobile_app
402,SME_00084,6,application,2011-08-15,,,,,,mobile_app
403,SME_00084,6,approved,2011-08-22,,,,,,mobile_app
404,SME_00084,6,completed,2011-11-01,,,3.0,,,mobile_app
405,SME_00085,1,application,2024-03-30,768.12,,,,,agent
406,SME_00085,1,approved,2024-04-08,768.12,639.45,,,,agent
407,SME_00085,1,completed,2024-11-23,768.12,639.45,5.0,95.2,,agent
408,SME_00085,4,application,2021-11-01,,,,,,partner
